body
"Thoughts and critiques welcome.  Started out as a play account, but it's become too big to call it that anymore and I have to take it seriously. ($225k account). Disney is by far my biggest drag.

MSFT - 23%

VOO - 12%

AMZN - 11%

AMD - 11%

Crowdstrike - 10%

AirBNB - 9%

Disney - 8%

Schwab - 5%

GM - 4%

Nextera - 4%

SoFi - 3%

Tellurian - 1%"
