body
"MSFT - 19%

AMZN - 19%

MA - 19%

ALPHABET - 15%

AMD -14%

FSLR - 14%

Recently ditched dividend investing in UK companies as it was doing nothing but losing me money.
Would like to add 2 more to my portfolio but undecided what."
