Gender,gender,age,Salary,salary,decision
Male,1,35,20000,20,0
Male,1,40,43500,43.5,0
Male,1,49,74000,74,0
Male,1,40,107500,107.5,1
Male,1,25,79000,79,0
Female,0,47,33500,33.5,1
Female,0,46,132500,132.5,1
Male,1,42,64000,64,0
Female,0,30,84500,84.5,0
Male,1,41,52000,52,0
Male,1,42,80000,80,0
Male,1,47,23000,23,1
Female,0,32,72500,72.5,0
Female,0,27,57000,57,0
Female,0,42,108000,108,1
Female,0,33,149000,149,1
Male,1,35,75000,75,0
Male,1,35,53000,53,0
Male,1,46,79000,79,1
Female,0,39,134000,134,1
Female,0,39,51500,51.5,0
Female,0,49,39000,39,1
Male,1,54,25500,25.5,1
Female,0,41,61500,61.5,0
Female,0,31,117500,117.5,0
Male,1,24,58000,58,0
Male,1,40,107000,107,1
Male,1,40,97500,97.5,1
Female,0,48,29000,29,1
Female,0,38,147500,147.5,1
Male,1,45,26000,26,1
Male,1,32,67500,67.5,0
Female,0,37,62000,62,0
Male,1,41,79500,79.5,0
Female,0,44,113500,113.5,1
Female,0,47,41500,41.5,0
Female,0,38,55000,55,0
Female,0,39,114500,114.5,1
Male,1,42,73000,73,1
Male,1,26,15000,15,0
Female,0,21,37500,37.5,0
Female,0,59,39500,39.5,1
Female,0,39,66500,66.5,0
Female,0,43,80500,80.5,0
Male,1,49,86000,86,1
Male,1,37,75000,75,0
Female,0,49,76500,76.5,0
Male,1,28,123000,123,1
Female,0,59,48500,48.5,1
Female,0,40,60500,60.5,0
Female,0,38,99500,99.5,1
Male,1,51,35500,35.5,1
Female,0,55,130000,130,1
Female,0,23,56500,56.5,0
Female,0,49,43500,43.5,1
Female,0,49,36000,36,1
Male,1,48,21500,21.5,1
Female,0,49,98500,98.5,0
Male,1,43,59500,59.5,0
Female,0,35,147000,147,1
Female,0,50,109500,109.5,1
Male,1,48,26500,26.5,1
Male,1,49,88000,88,1
Female,0,38,72500,72.5,0
Male,1,27,58000,58,0
Male,1,35,22000,22,0
Female,0,35,71000,71,0
Male,1,43,129000,129,1
Male,1,41,45000,45,0
Male,1,39,42000,42,0
Female,0,45,40500,40.5,0
Female,0,51,37500,37.5,1
Male,1,20,86500,86.5,0
Female,0,41,63000,63,0
Male,1,58,41500,41.5,1
Female,0,50,115500,115.5,1
Female,0,28,55500,55.5,0
Male,1,34,32500,32.5,0
Female,0,57,106500,106.5,1
Female,0,50,53500,53.5,1
Male,1,49,28000,28,1
Male,1,53,151500,151.5,1
Male,1,42,88500,88.5,1
Female,0,27,17000,17,0
Female,0,59,76000,76,1
Female,0,51,136500,136.5,1
Female,0,49,120500,120.5,1
Female,0,32,35500,35.5,0
Male,1,30,44500,44.5,0
Female,0,27,18500,18.5,0
Female,0,36,50000,50,0
Male,1,60,144500,144.5,1
Male,1,38,51000,51,0
Female,0,29,38500,38.5,0
Female,0,61,103500,103.5,1
Female,0,33,151500,151.5,1
Male,1,45,75500,75.5,1
Female,0,26,17000,17,0
Male,1,30,87000,87,0
Male,1,38,60500,60.5,0
