,0
0,Global market for anti-obesity drugs could reach $100B by 2030: Goldman Sachs
1,Goldman: 15 million Americans will be taking weight loss drugs by 2030
2,Eli Lilly (LLY) Registers a Bigger Fall Than the Market: Important Facts to Note
3,"Obesity Drugs Are a Potential $100 Billion Opportunity by 2030, Goldman Sachs Analysts Say"
4,Ozempic Sales Are Skyrocketing Faster Than Expected. Here's Why That's Great News for Eli Lilly Stock.
5,"Novo Nordisk (NVO) Raises Sales Outlook for 2023, Shares GainZacks"
6,Those New Pickleball Courts? Thank Ozempic.The Wall Street Journal
7,"After a tenfold gain on a drugs maker, here is that investor’s next choice"
8,"Lilly's tirzepatide shows additional 21.1% weight loss after 12 weeks of intensive lifestyle intervention, for a total mean weight loss of 26.6% from study entry over 84 weeks"
9,"Drug used in diabetes treatment Mounjaro helped dieters shed 60 pounds, study finds"
10,Eli Lilly: One Chart Explains why Shares are Surging
11,3 Dividend Growth Stocks You Can Buy and Hold Forever
