,body
0,"COO Jenna Owens, former executive roles at google and amazon. I dont see it goin to 40 again."
1,"TLDR of earnings report: Overall revenues slightly down from last year due to retail stores being closed due to pandemic, but online sales up 175%, and now make up 34% of total sales, and newly appointed COO has experience working for Google and Amazon. TLDR of TLDR: GME 🚀🚀🚀🚀🚀"
2,"- Great earnings report during a pandemic year.
- Failed CFO leaving 
- New COO from Google and Amazon coming in.
- Ryan Cohen as Chairperson spearheading the newly formed Transformation committee.

Why wouldn't I invest in GME?"
3,NEW COO ANNOUNCED JENNA BAE REPLACES CATHIE [https://www.sec.gov/Archives/edgar/data/0001326380/000132638021000030/ex101-jennaowenscooofferle.htm](https://www.sec.gov/Archives/edgar/data/0001326380/000132638021000030/ex101-jennaowenscooofferle.htm)
4,"The fucking misinfo spam in here now that earnings are out.

We met EPS expectations.

We had 171% growth in eCommerce.

We had better margins and SG&A

We have a new COO, Jenna Owens, director  level roles in the past around digital transformation at fucking Google, McKinsey, and Amazon.

We have a much deeper emphasis on digitisation strategy, fat loss.

We paid down $57m of debt.

We shot up 8% in AH as a result but all some folks are screaming about in here is that AH is now only +5%?

get the fuck outta here with that bear shit"
5,GME new COO Jenna Owens from Amazon!
6,"Earnings are out:

[https://investor.gamestop.com/news-releases/news-release-details/gamestop-reports-fourth-quarter-and-fiscal-2020-results](https://investor.gamestop.com/news-releases/news-release-details/gamestop-reports-fourth-quarter-and-fiscal-2020-results)

Key takeaways:

***Achieved 6.5% Increase in Comparable Store Sales During Fourth Quarter, With Global E-Commerce Sales Increasing 175% for the Fourth Quarter and 191% for Fiscal 2020***

***Expense Reduction Initiatives Drove $409 Million, or 21%, SG&A Improvement in Fiscal 2020***

***Strengthened the Balance Sheet and Ended Fiscal 2020 With $635 Million in Total Cash, Laying the Foundation for Transformation***

***Announces the Appointment of Technology Veteran Jenna Owens as New Chief Operating Officer***

The new COO seems huge, previous Director of Distribution and Fulfillment at Amazon if I'm looking at the right person on LinkedIn."
7,"Beat, reducing costs, reducing debt, cash reserves, e-commerce expansion exploding, new COO has Amazon and Google experience...

These mean 🚀 👩‍🚀 👨‍🚀 🚀 🌙"
8,"The new COO, E-commerce SVP, and supply chain VP hires start work on Monday."
9,"Sadly, we are up against THE most powerful, most politically connected, wealthiest, dirtiest, most cutthroat, group of sociopaths you NEVER want to meet. That is why they hold the positions of power that they do. Don’t get me wrong, I’m NOT saying it’s impossible to beat these Mother fuckers because it IS possible. However, I assure you, they do not loose often because the system is rigged in their favor and they play knowing THEY ARE THE HOUSE. Ask yourself, when is the last time a CEO, CFO, COO, or a Board member of a major bank went to jail for stealing millions or even billions from us? Never, because the laws that the Congress write protect them. That’s right our fucking elected representatives Democrats and Republicans alike write laws to protect these Corporate assholes from being arrested and thrown in jail. Just like the Representatives and Senators write laws that protect themselves. They can lie through their teeth as long as they do it on the Congress and Senate floor they have immunity, BAM! 

The only way to beat them is to beat them at their own game just like we did with $GME except this time we have the fore knowledge that they will try anything and everything to fuck with us. Perhaps this time we go strictly cash, no margin. Yep, I know no moon shot money but they also can’t fuck with your shares either. Just one suggestion. I’m sure there are many more options and opportunities to strike back at the evil empire. God Bless and Godspeed."
